episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
55,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,5.480029139127509,47.357517540454865,0.64,0.10960058278255018,61.76636824534568,1821.7206773757935,86.24946619146317,462.0,359.17413330078125,99,97,170,34,204.0,140.0,118.0,462.0,0.0,True,False
56,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,7.331053232214392,47.66583295968863,0.78,0.14662106464428784,60.1457746766783,1689.224362373352,89.14199096854328,475.0,376.9611897468567,84,78,204,34,183.0,160.0,132.0,475.0,0.0,True,False
57,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,4.863224117135654,49.75628968441125,0.6875,0.10131716910699279,64.34633967414669,1780.4069385528564,84.28575821913333,439.0,392.4658045768738,81,99,165,39,170.0,135.0,134.0,439.0,1.0,True,True
58,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,8.517354521992953,51.84561694752086,0.88,0.17034709043985907,60.66527419478121,1737.799747467041,87.33326019415428,477.0,365.56535053253174,68,92,184,56,196.0,151.0,130.0,477.0,0.0,True,False
59,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.382018008572079,47.812288420540945,0.56,0.08764036017144157,64.77177657774982,1816.4405479431152,95.45662096169426,479.0,423.845831155777,108,91,179,22,197.0,141.0,141.0,479.0,1.0,True,True
60,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,5.716335244802026,48.25820541381836,0.66,0.11432670489604052,60.92746870913044,1747.273419380188,89.20022405324727,441.0,384.44989585876465,90,99,179,32,197.0,138.0,106.0,441.0,0.0,True,False
61,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,6.446264858475773,50.68450789981418,0.72,0.12892529716951548,62.516261442241536,1763.8894658088684,84.52753774442041,436.0,420.6980333328247,76,107,173,44,182.0,139.0,115.0,436.0,1.0,True,True
62,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,6.48736504254897,49.21953588061862,0.72,0.1297473008509794,62.62028325098455,1820.553674697876,88.54481185418942,426.0,397.9578380584717,78,93,169,60,187.0,140.0,99.0,426.0,0.0,True,False
63,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,5.562674186609232,44.6539751291275,0.64,0.11125348373218465,60.49635599197736,1723.4786806106567,86.95650617388021,385.0,414.6913061141968,85,94,179,42,172.0,133.0,80.0,385.0,1.0,True,True
64,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.540571312595529,55.15180622447621,0.66,0.11081142625191058,67.39005418641551,2021.3016242980957,89.2057959842123,426.0,416.4976453781128,94,96,147,63,207.0,122.0,97.0,426.0,1.0,True,True
