time,nof_ue,dl_brate,ul_brate,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file,bs_lambda_total
1602351599878,9,406976.0,13408.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,420384.0
1602351600128,9,356384.0,104832.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,461216.0
1602351600378,9,450720.0,68544.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,519264.0
1602351600628,9,414944.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,414944.0
1602351600878,9,370848.0,59360.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,430208.0
1602351601128,9,332640.0,107872.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,440512.0
1602351601378,9,512384.0,37248.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,549632.0
1602351601628,9,492594.40625,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,492594.40625
1602351601878,9,374752.0,12704.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,387456.0
1602351602128,9,487790.4375,116621.515625,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,604411.953125
1602351602378,9,476939.6875,40448.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,517387.6875
1602351602628,9,465883.90625,12512.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,478395.90625
1602351602878,9,512576.0,12544.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,525120.0
1602351603128,9,365568.0,59072.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,424640.0
1602351603378,9,512320.0,72960.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,585280.0
1602351603628,9,358016.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,358016.0
1602351603878,9,491251.0,48956.175781,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,540207.1757809999
1602351604128,9,505472.0,37952.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,543424.0
1602351604378,9,721536.0,128736.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,850272.0
1602351604628,9,524320.0,7648.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,531968.0
1602351604878,9,680480.0,47872.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,728352.0
1602351605128,9,661280.0,108928.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,770208.0
1602351605378,9,609536.0,138816.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,748352.0
1602351605628,9,506176.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,506176.0
1602351605878,9,445536.0,101376.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,546912.0
1602351606128,9,331104.0,33920.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,365024.0
1602351606378,9,398272.0,50432.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,448704.0
1602351606628,9,541152.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,541152.0
1602351606878,9,448896.0,47520.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,496416.0
1602351607128,9,457824.0,87680.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,545504.0
1602351607378,9,521088.0,32896.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,553984.0
1602351607628,9,443552.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,443552.0
1602351607878,9,404787.15625,20658.634766,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,425445.791016
1602351608128,9,457753.0,56509.960938,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,514262.960938
