time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,ue_file_id,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file
17181,0,1,3400,-72.0,72.0,-262.0,13.0,13.0,2.2,8224.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
17430,0,1,3400,-72.0,72.0,-264.0,13.0,14.0,1.4,16032.0,0.0,27.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
17679,0,1,3400,-72.0,72.0,-267.0,6.3,13.0,1.1,18326.693359,0.0,27.0,1.6,0.0,14470.119141,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
17928,0,1,3400,-72.0,72.0,-270.0,10.0,14.0,2.0,2720.0,50.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
18177,0,1,3400,-72.0,72.0,-268.0,15.0,14.0,2.3,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
18426,0,1,3400,-72.0,72.0,-267.0,15.0,14.0,1.6,8160.0,33.0,27.0,1.6,0.0,13184.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
18675,0,1,3400,-72.0,72.0,-264.0,15.0,14.0,2.0,5131.474121,50.0,27.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
18924,0,1,3400,-72.0,72.0,-268.0,15.0,14.0,2.2,23552.0,15.0,27.0,0.032,0.0,1568.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
19173,0,1,3400,-72.0,72.0,-267.0,15.0,14.0,2.2,5568.0,50.0,27.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
19422,0,1,3400,-72.0,72.0,-265.0,14.0,14.0,2.3,288.0,80.0,27.0,0.024,0.0,1568.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
19671,0,1,3400,-72.0,72.0,-268.0,13.0,14.0,2.0,13290.836914,44.0,27.0,0.024,0.0,12972.111328,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
19920,0,1,3400,-72.0,72.0,-267.0,15.0,14.0,2.9,14272.0,30.0,27.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
20169,0,1,3400,-72.0,72.0,-267.0,12.0,14.0,2.0,6944.0,33.0,27.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
20418,0,1,3400,-72.0,72.0,-264.0,8.4,14.0,0.66,17952.0,0.0,27.0,0.0,0.0,15680.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
