dataset_group,scenario,training_id,experiment_id,imsi,num_records,min_time,max_time,unique_base_station_count,base_stations_observed,unique_rnti_count,rnti_values,rnti_change_count,unique_slice_id_count,slice_ids_observed,appears_in_more_than_one_base_station,sequential_multi_bs_timestamps,same_timestamp_multi_bs_count,ambiguous_multi_bs_observation
slice_mixed,rome_slow_close,tr0,exp3,1010123456017,258,1602383902792.0,1602383967080.0,1,bs2,1,71,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456018,254,1602383903292.0,1602383966542.0,1,bs2,1,79,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456019,248,1602383902792.0,1602383964542.0,1,bs2,1,74,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456020,88,1602383903292.0,1602383925042.0,1,bs2,1,80,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456021,258,1602383902542.0,1602383966819.0,1,bs2,1,75,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456022,243,1602383903042.0,1602383963542.0,1,bs2,1,77,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456026,511,1602383933254.0,1602384086042.0,2,bs2;bs3,2,105;95,0,1,1,True,True,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456027,1199,1602383903004.0,1602384268292.0,2,bs2;bs3,3,118;122;80,1,1,2,True,True,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456028,107,1602383903504.0,1602384363792.0,2,bs2;bs3,3,121;138;81,1,1,0,True,True,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456032,1867,1602383902754.0,1602384368004.0,2,bs2;bs3,3,118;135;84,1,1,1,True,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456024,1862,1602383902754.0,1602384368004.0,1,bs3,1,75,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456025,349,1602383904004.0,1602383991004.0,1,bs3,1,89,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456029,1860,1602383903254.0,1602384368004.0,1,bs3,1,85,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456030,1861,1602383903004.0,1602384368004.0,1,bs3,1,74,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456033,1863,1602383902504.0,1602384368004.0,1,bs3,1,83,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456042,1,1602383902601.0,1602383902601.0,1,bs4,1,71,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp3,1010123456044,97,1602383878601.0,1602383902601.0,1,bs4,1,70,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456002,249,1602431672628.0,1602431734628.0,1,bs1,1,76,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456003,250,1602431672628.0,1602431734878.0,1,bs1,1,77,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456004,245,1602431671878.0,1602431732915.0,1,bs1,1,72,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456005,254,1602431671628.0,1602431734878.0,1,bs1,1,71,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456006,248,1602431673128.0,1602431734878.0,1,bs1,1,85,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456007,242,1602431672378.0,1602431732628.0,1,bs1,1,75,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456008,144,1602431672128.0,1602431707878.0,1,bs1,1,74,0,1,1,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456009,98,1602431671628.0,1602431695878.0,1,bs1,1,70,0,1,2,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456010,22,1602431672378.0,1602431677628.0,1,bs1,1,73,0,1,0,False,False,0,False
slice_mixed,rome_slow_close,tr0,exp4,1010123456011,1794,1602431680628.0,1602432128878.0,1,bs1,1,120,0,1,1,False,False,0,False
