dataset_group,scenario,training_id,experiment_id,imsi,time_prev,time_curr,src_rh,dst_rh,src_rnti,dst_rnti,src_slice_id,dst_slice_id,dt_ms,dl_rate_before_mbps,ul_rate_before_mbps,dl_buffer_before_bytes,ul_buffer_before_bytes,dl_cqi_before,ul_sinr_before,handover_confidence,reason
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430169692,1602430169768,bs3,bs1,84,83,1,1,76,0.0267631,0.0,0,0,6.0,0.224254,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430169768,1602430169942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,15.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430169942,1602430170018,bs3,bs1,84,83,1,1,76,0.034506,0.0,0,0,6.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430170018,1602430170192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430170192,1602430170268,bs3,bs1,84,83,1,1,76,0.0350843,0.0,0,0,14.0,0.1,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430170268,1602430170442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,7.33333,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430170442,1602430170518,bs3,bs1,84,83,1,1,76,0.0304578,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430170518,1602430170692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,2.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430170692,1602430170768,bs3,bs1,84,83,1,1,76,0.0395181,0.0,0,0,2.5,0.1,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430170768,1602430170942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430170942,1602430171018,bs3,bs1,84,83,1,1,76,0.0561928,0.0,0,0,3.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430171018,1602430171192,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,2.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430171192,1602430171268,bs3,bs1,84,83,1,1,76,0.0334458,0.0,0,0,6.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430171268,1602430171442,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,3.5,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430171442,1602430171518,bs3,bs1,84,83,1,1,76,0.0487068,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430171518,1602430171692,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,10.0,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430171692,1602430171768,bs3,bs1,84,83,1,1,76,0.0382651,0.0,86,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430171768,1602430171942,bs1,bs3,83,84,1,1,174,0.0,0.0,0,0,0.1,0.0,high,clear_consecutive_rh_change
slice_mixed,rome_slow_close,tr1,exp4,1010123456026,1602430171942,1602430172018,bs3,bs1,84,83,1,1,76,0.0385221,0.0,0,0,7.5,0.0,high,clear_consecutive_rh_change
