episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
92,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,69.75034709818706,263.7809867858887,6.932688010161369,9.0,34.51903057098389,10,17,8,5,6.0,1.0,2.0,9.0,0.0,True,False
93,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,77.56931499838605,269.882568359375,8.242448598802834,6.0,51.86077904701233,12,16,7,5,4.0,2.0,0.0,6.0,1.0,True,True
94,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,74.89886401998088,266.38206481933594,8.748242705418914,13.0,43.1820068359375,13,16,8,3,7.0,3.0,3.0,13.0,0.0,True,False
95,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,53.80206999827698,200.7959804534912,6.598723291746527,11.0,25.307822942733765,13,14,8,5,8.0,3.0,0.0,11.0,1.0,True,True
96,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,59.25847344110433,197.54801177978516,7.116759579941816,11.0,40.31379795074463,9,16,10,5,6.0,3.0,2.0,11.0,1.0,True,True
97,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,53.941945000810406,215.33712100982666,6.17162568497546,12.0,18.100488901138306,15,13,7,5,6.0,4.0,2.0,12.0,0.0,True,False
98,small,small_clustered_train_b,train,strict_full,-1.4375,inf,0.0,-0.2875,58.98653302953653,199.49609565734863,8.36806367215775,14.0,36.53425335884094,13,16,7,4,8.0,5.0,1.0,14.0,0.0,True,False
99,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,61.44306054803555,250.29416275024414,7.741107287296839,11.0,19.09001636505127,11,16,9,4,6.0,2.0,3.0,11.0,1.0,True,True
100,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,63.531172846915126,223.65108108520508,6.880310887369513,13.0,37.062235593795776,8,19,8,5,9.0,3.0,1.0,13.0,0.0,True,False
101,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,83.49301078155085,289.74908447265625,9.924726501824708,7.0,55.395620346069336,14,15,6,5,4.0,3.0,0.0,7.0,1.0,True,True
